msoa11,vacancy_rate
E02000097,95.07692307692308
E02000098,97.94238683127571
E02000099,93.68029739776952
E02000100,92.26804123711341
E02000101,92.26804123711341
E02000102,86.11111111111111
E02000103,81.47612156295224
E02000104,93.0415263748597
E02000105,94.05405405405406
E02000106,92.0479302832244
E02000107,93.562874251497
E02000108,100.0
E02000109,87.79443254817987
E02000110,94.21052631578948
E02000111,90.77253218884121
E02000112,88.65914786967419
E02000113,91.15646258503402
E02000114,92.98597194388778
E02000115,87.17948717948718
E02000116,92.00438116100767
E02000117,86.9205298013245
E02000118,94.48621553884712
E02000119,93.4065934065934
E02000120,92.06477732793522
E02000121,92.70998415213946
E02000122,91.0
E02000123,90.2534965034965
E02000124,92.11438474870018
E02000125,88.9423076923077
E02000126,66.66666666666666
E02000127,70.58823529411765
E02000128,74.57627118644068
E02000130,73.73493975903614
E02000131,72.79236276849642
E02000132,76.38297872340426
E02000133,78.41409691629956
E02000134,69.35409986257443
E02000135,73.65661861074705
E02000136,75.77319587628865
E02000137,46.666666666666664
E02000138,76.44628099173553
E02000139,70.36290322580645
E02000140,75.53956834532374
E02000141,79.15057915057915
E02000142,68.13186813186813
E02000144,73.6517719568567
E02000145,73.5981308411215
E02000146,77.59856630824373
E02000147,78.88888888888889
E02000148,76.47058823529412
E02000149,76.42585551330798
E02000150,76.44787644787645
E02000151,66.66666666666666
E02000152,80.3921568627451
E02000153,80.7017543859649
E02000154,71.30541871921181
E02000155,66.90140845070422
E02000156,78.8655077767612
E02000157,78.94736842105263
E02000158,78.35820895522389
E02000159,76.28361858190709
E02000160,74.32432432432432
E02000161,79.81651376146789
E02000162,75.40983606557377
E02000163,76.07655502392345
E02000165,76.66666666666667
E02000166,84.61538461538461
E02000167,87.8048780487805
E02000168,68.57142857142857
E02000171,90.0
E02000172,55.00000000000001
E02000173,50.0
E02000174,100.0
E02000175,100.0
E02000176,80.0
E02000177,65.625
E02000178,45.45454545454545
E02000180,92.0
E02000182,95.0
E02000183,57.14285714285714
E02000184,68.75
E02000185,71.42857142857143
E02000186,68.75
E02000187,82.6086956521739
E02000188,57.49999999999999
E02000189,90.0
E02000190,100.0
E02000191,83.58778625954199
E02000192,92.5
E02000193,80.95238095238095
E02000194,89.76470588235294
E02000195,95.3405017921147
E02000196,94.75
E02000197,94.74358974358974
E02000198,92.7710843373494
E02000199,96.98492462311557
E02000200,93.10344827586206
E02000201,92.22972972972973
E02000202,95.55555555555556
E02000203,92.21311475409836
E02000204,93.6726272352132
E02000206,94.65116279069767
E02000207,87.1859296482412
E02000208,94.19354838709677
E02000209,88.55421686746988
E02000210,88.06584362139918
E02000211,92.64705882352942
E02000212,92.21938775510205
E02000213,82.07498715973293
E02000214,96.98189134808854
E02000215,94.42622950819673
E02000216,83.33333333333334
E02000217,87.98611111111111
E02000218,94.25837320574163
E02000219,94.35215946843853
E02000220,77.58132956152758
E02000221,89.81481481481481
E02000222,86.21495327102804
E02000223,92.0
E02000224,90.02808988764045
E02000225,98.0
E02000226,93.33333333333333
E02000227,99.28571428571429
E02000228,98.00995024875621
E02000229,94.98525073746312
E02000230,89.03775883069429
E02000231,96.3302752293578
E02000232,95.85492227979275
E02000233,94.53551912568307
E02000234,94.30232558139535
E02000235,92.94117647058823
E02000236,94.07407407407408
E02000237,96.31901840490798
E02000238,96.73913043478261
E02000239,92.66409266409266
E02000240,100.0
E02000241,99.3421052631579
E02000242,95.16129032258065
E02000243,94.31438127090301
E02000244,93.33333333333333
E02000245,100.0
E02000246,92.98245614035088
E02000247,86.90476190476191
E02000248,94.03973509933775
E02000249,94.0677966101695
E02000250,95.260663507109
E02000251,94.1747572815534
E02000252,85.17915309446255
E02000253,82.45614035087719
E02000254,96.96969696969697
E02000255,70.9090909090909
E02000256,93.33333333333333
E02000257,85.28652555498194
E02000258,97.14285714285714
E02000259,88.51674641148325
