msoa11,mosa_residential_meanprice
E02000314,366732.95219797874
E02000315,368936.62164578127
E02000316,362002.6078942599
E02000317,374961.9468521212
E02000318,366537.3983744715
E02000319,402382.37439889903
E02000320,401157.5873929105
E02000321,318543.98936082196
E02000323,394163.8145669231
E02000324,464494.9074057778
E02000326,534569.8886781667
E02000327,371302.6088919469
E02000328,817069.5147749451
E02000329,441501.5969851613
E02000331,448450.95284475613
E02000332,486435.84090954287
E02000333,796670.7900364615
E02000334,489649.21057226945
E02000335,544953.6961772727
E02000337,462538.8828040964
E02000339,627151.1457059259
E02000340,483825.01516725955
E02000341,435435.9515642069
E02000342,489502.65897825395
E02000343,483761.6668323611
E02000344,518797.5403303968
E02000345,786778.3828869918
E02000346,551443.3383862096
E02000347,712960.6838193506
E02000348,483870.21277
E02000350,734723.1107304839
E02000351,636963.7083345517
E02000352,804896.332279203
E02000353,1006664.8543207693
E02000354,616477.580807792
E02000355,886631.0770858333
E02000356,946982.4688264969
E02000357,444240.5465389773
E02000358,731260.7188489162
E02000359,888369.7239044347
E02000360,497456.8547627429
E02000361,641967.3713483172
E02000362,582707.3680202765
E02000363,461135.08931988024
E02000364,1078590.7263817836
E02000365,793426.1438791
E02000366,908580.95433232
E02000367,736386.1514586873
E02000368,535334.1174914155
E02000369,532546.8032011441
E02000370,765336.5965153571
E02000371,953614.6687486203
E02000372,605853.5315301352
E02000373,374046.21429000003
E02000374,794610.0773272477
E02000375,1061546.2149978348
E02000376,654833.0019812048
E02000377,735158.6758738001
E02000378,738661.0406817324
E02000379,974738.110969091
E02000380,1118712.8384094231
E02000381,1253883.2604389363
E02000382,1064228.5442321347
E02000383,768508.1692254739
E02000384,856270.7230828571
E02000385,793537.3579348921
E02000386,693604.4925638655
E02000387,704822.3306231707
E02000388,1036350.6664426599
E02000389,1080115.5368049103
E02000390,962043.1495407189
E02000391,1346206.023446033
E02000392,962776.0407583712
E02000393,1025598.2912812319
E02000394,995563.4270205455
E02000395,1421388.3121071847
E02000396,1243143.1596066062
E02000397,508887.9248236232
E02000398,418904.9030009876
E02000400,636394.1340232972
E02000401,471303.2786903279
E02000402,430175.43333424
E02000403,542084.9081296684
E02000404,492865.35087842104
E02000405,1137340.239074898
E02000406,582190.5235692792
E02000407,482934.6402385
E02000408,465130.98019579443
E02000409,574724.1287861819
E02000410,1039454.0043817773
E02000411,496022.4865195146
E02000412,522065.55153645563
E02000413,1225449.8995534882
E02000414,562460.7355568041
E02000415,525620.9641744737
E02000416,692868.6931876614
E02000417,964681.380659077
E02000418,1027166.9012130974
E02000419,621673.599998919
E02000420,499778.4639039264
E02000421,355666.66667
E02000422,501667.50049323234
E02000423,675147.0809580596
E02000424,748878.0585262902
E02000425,822540.074907528
E02000426,1636039.9229544355
E02000427,612762.2697171172
E02000428,458563.20346223144
E02000429,1160045.1412464974
E02000430,832374.3341696342
E02000431,1243727.4222404968
E02000432,735310.2089627692
E02000433,856248.8472750887
E02000434,559743.6093462089
E02000435,695839.1917303782
E02000436,927099.4669379999
E02000437,611857.5129539897
E02000438,553484.7487405001
E02000439,480334.8937241025
E02000440,679255.6565072603
E02000441,788806.8608932038
E02000442,548062.3076923077
E02000443,455169.9634981435
E02000444,563913.6863128205
E02000445,438380.5169321925
E02000447,618135.142734353
E02000448,933354.3786931635
E02000449,435761.625
E02000451,622340.0096054717
E02000452,388285.52590925235
E02000453,497622.9554740367
E02000454,799951.4376272361
E02000455,483096.2305539905
E02000456,512221.9358893496
E02000457,540411.4018626946
E02000459,427873.809526508
E02000460,419511.84210625
E02000461,572583.2340372157
E02000462,434836.81939037266
E02000463,445192.6807775397
E02000464,412987.1156405882
E02000465,373885.14285794995
E02000466,392713.25981928996
E02000467,355562.7268844619
E02000468,442091.1929472105
E02000469,364851.0313224243
E02000470,442227.6945538513
E02000471,545136.0105468675
E02000472,455556.4388260733
E02000473,482492.7279185334
E02000474,416494.61265328707
E02000475,637199.6117178359
E02000476,359103.3594734799
E02000477,525801.0511516185
E02000478,1008789.8018632679
E02000479,376107.76340185036
E02000480,358636.1336529604
E02000481,482446.92542015226
E02000482,706528.9921652206
E02000483,364644.9576974372
E02000484,490494.48657616216
E02000485,485819.0763851309
E02000486,442430.90829392
E02000487,755569.8473293547
E02000488,474361.8642283333
E02000489,424861.4307109581
E02000490,428957.6384038065
E02000491,376150.0755443674
E02000492,466780.1020395919
E02000493,330494.5773210366
E02000494,1151811.1418405036
E02000495,563322.4524077063
E02000496,503961.17400474707
E02000497,598596.0755103169
E02000498,593629.253668032
