msoa11,average_retail_lifetime
E02000223,3032.68
E02000224,2957.616573033708
E02000225,4144.16
E02000226,2805.5897435897436
E02000227,3998.385714285714
E02000228,2952.139303482587
E02000229,3122.592920353982
E02000230,2679.7076735688183
E02000231,2458.0825688073396
E02000232,2706.336787564767
E02000233,3290.6612021857923
E02000234,2820.7837209302324
E02000235,2754.670588235294
E02000236,3750.259259259259
E02000237,3560.3312883435583
E02000238,1919.4673913043478
E02000239,2263.355212355212
E02000240,2235.6857142857143
E02000241,1974.0592105263158
E02000242,2089.8602150537636
E02000243,1919.515050167224
E02000244,1983.5458333333333
E02000245,2084.2982456140353
E02000246,2093.8070175438597
E02000247,1925.1904761904761
E02000248,1836.2483443708609
E02000249,1900.0254237288136
E02000250,2353.6350710900474
E02000251,2284.747572815534
E02000252,1907.442996742671
E02000253,1795.719298245614
E02000254,2174.769696969697
E02000255,2313.5454545454545
E02000256,1868.2333333333333
E02000257,1781.9643779039752
E02000258,1980.3285714285714
E02000259,1959.2631578947369
E02000260,1675.3653169014085
E02000261,2270.519163763066
E02000262,1868.5080264400378
E02000263,1662.6233062330623
E02000264,1803.1800643086817
E02000265,1850.127408993576
E02000266,1920.5963636363635
E02000267,2207.250437828371
E02000268,2057.7258485639686
E02000269,1802.8049180327869
E02000270,2207.728744939271
E02000271,2228.724696356275
E02000272,2064.4954128440368
E02000274,1938.3559822747416
E02000275,2135.821052631579
E02000276,1961.5859564164648
E02000313,4671.333333333333
E02000314,2978.436
E02000315,2810.1946902654868
E02000316,2722.237360298031
E02000317,2788.6068965517243
E02000318,2761.18098510882
E02000319,2939.261744966443
E02000320,2799.495575221239
E02000321,3169.6
E02000323,3059.4418079096044
E02000324,2578.4944237918216
E02000326,3351.7272727272725
E02000327,2297.703703703704
E02000328,3259.0529411764705
E02000329,3085.0731707317073
E02000331,3458.1672727272726
E02000332,2811.3714285714286
E02000333,3499.5142857142855
E02000334,2469.5
E02000335,2583.041379310345
E02000337,3342.2580645161293
E02000339,3123.1830508474577
E02000340,2761.688748685594
E02000341,2977.8981481481483
E02000342,2848.9136690647483
E02000343,3023.0173913043477
E02000344,2787.1495327102803
E02000372,3303.7611336032387
E02000373,3539.84
E02000374,3363.276119402985
E02000375,2717.632111692845
E02000376,3480.4227248249867
E02000377,3192.5132867132866
E02000378,3355.9491228070174
E02000379,3038.9411764705883
E02000380,3492.1639344262294
E02000381,3536.5033444816054
E02000382,3567.721088435374
E02000383,3500.5314900153608
E02000384,3255.0220541902963
E02000385,3618.7408637873755
E02000386,2816.5584415584417
E02000387,3406.036269430052
E02000388,3333.7044293015333
E02000389,3509.7148080438756
E02000390,3380.9135446685877
E02000391,3700.8307240704503
E02000392,3617.734419263456
E02000393,3059.380403458213
E02000394,3147.1118568232664
E02000395,3504.3804213135068
E02000396,3121.757170172084
E02000397,4042.208981001727
E02000398,4653.345454545454
E02000400,4895.097345132744
E02000401,3867.791489361702
E02000402,4696.9
E02000403,3751.6878453038676
E02000404,4723.952755905511
E02000405,4303.853896103896
E02000406,4502.218623481781
E02000407,4388.382165605096
E02000408,4232.632162661737
E02000409,4733.586666666667
E02000410,4693.456464379948
E02000411,3620.4583333333335
E02000412,3368.442953020134
E02000413,5871.422222222222
E02000414,4773.768907563025
E02000415,3742.814338235294
E02000416,4037.058585858586
E02000417,5186.504191616767
E02000418,4508.017341040462
E02000419,3793.261070110701
E02000420,3747.941929974381
E02000421,3736.9542857142856
E02000422,4228.801652892562
E02000423,4436.091932457786
E02000424,4011.0408805031448
E02000425,4108.019379844961
E02000426,4740.051671732523
E02000427,4279.186813186813
E02000428,4329.163265306122
E02000429,3636.1
E02000430,4699.251094890511
E02000431,4209.545319465082
E02000432,4458.708196721312
E02000433,2099.152209492635
E02000434,2166.122448979592
E02000435,2373.366666666667
E02000436,2277.190476190476
E02000437,2496.0886524822695
E02000438,1653.5283400809717
E02000439,2149.1600790513835
E02000440,1686.269406392694
E02000441,2345.0689655172414
E02000442,1714.8497854077252
E02000443,2046.2080745341616
E02000444,1642.7299771167047
E02000445,2079.6024734982334
E02000447,2015.4787234042553
E02000448,1946.5819277108433
E02000449,1774.8166666666666
E02000451,1976.1678832116788
E02000452,1991.116871704745
E02000453,2081.594527363184
E02000454,2298.355140186916
E02000455,2122.0873469387757
E02000456,2264.369230769231
E02000457,1861.6758832565283
E02000459,2281.580375782881
E02000460,1809.6684210526316
E02000461,1902.123943661972
E02000462,2035.3110236220473
E02000463,1858.1728971962616
E02000464,1597.2857142857142
E02000465,1577.0727272727272
E02000466,1449.057142857143
E02000467,1916.6509090909092
E02000468,1827.3790849673203
E02000469,1539.1568627450981
E02000470,1964.2709677419355
E02000471,1207.2105263157894
E02000472,1793.4705882352941
E02000473,1687.740157480315
E02000474,1773.748299319728
E02000475,1815.4147157190635
E02000476,2073.9448610498457
E02000477,1624.2363636363636
E02000478,1152.6
E02000479,1752.878205128205
E02000480,1616.2085106382979
E02000481,1765.7272727272727
E02000482,1629.6174496644296
E02000483,1956.383027522936
E02000484,1692.4324324324325
E02000485,1874.4801901743265
E02000486,1687.6689895470383
E02000487,1267.888888888889
E02000488,1681.188679245283
E02000489,1825.0111731843576
E02000490,1624.2363636363636
E02000491,1860.9615384615386
E02000492,1671.4
E02000493,1686.0140845070423
E02000494,2773.96
E02000495,2656.7610169491527
E02000496,2344.0027932960893
E02000497,2394.464
E02000498,3031.8333333333335
E02000499,2779.717171717172
E02000500,2642.0340367597005
E02000501,2489.4347826086955
